               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12377,              0.1405,            0.092626,           0.0011526,           0.0022502,          0.00058568,          0.00015973,                 nan,                 nan,             0.27712,            0.070162,           0.0033153,           0.0033153
                   1,             0.12101,             0.15163,            0.090465,           0.0028474,           0.0059269,           0.0015134,          0.00049808,                 nan,                 nan,              1.1261,            0.040156,           0.0066421,           0.0066421
                   2,             0.11145,             0.16475,            0.072807,            0.042025,            0.023367,           0.0080045,           0.0033786,             0.11316,             0.24017,             0.07595,            0.010142,           0.0099622,           0.0099622
                   3,             0.10512,             0.15982,            0.057685,             0.21973,            0.031028,            0.022166,           0.0097685,             0.10655,             0.24228,            0.056511,           0.0099703,           0.0099703,           0.0099703
                   4,             0.10189,             0.15304,            0.053697,             0.10779,            0.037433,            0.030711,            0.015136,             0.10246,             0.24041,            0.051857,           0.0099703,           0.0099703,           0.0099703
                   5,            0.099329,             0.15235,            0.050736,             0.36905,            0.058101,             0.05484,            0.023919,              0.1002,             0.24264,            0.049837,           0.0099604,           0.0099604,           0.0099604
                   6,            0.097322,             0.16083,            0.048783,             0.21868,            0.047384,            0.047992,            0.022921,             0.10365,             0.24567,            0.052429,           0.0099505,           0.0099505,           0.0099505
                   7,            0.095751,             0.15503,            0.047471,             0.31455,            0.064445,            0.075605,            0.035744,            0.097703,             0.23675,             0.04752,           0.0099406,           0.0099406,           0.0099406
                   8,            0.093966,             0.15051,             0.04608,             0.25435,            0.083651,            0.086573,             0.04162,            0.095356,             0.23833,            0.045628,           0.0099307,           0.0099307,           0.0099307
                   9,            0.092799,              0.1551,            0.045256,             0.26518,            0.075742,            0.080535,            0.038686,              0.0935,             0.23863,             0.04451,           0.0099208,           0.0099208,           0.0099208
                  10,            0.091661,             0.15588,             0.04402,             0.43651,             0.09539,             0.10404,             0.04901,            0.094114,             0.23646,            0.043892,           0.0099109,           0.0099109,           0.0099109
                  11,            0.090555,             0.15292,            0.043267,              0.3467,             0.10842,             0.11424,            0.055324,            0.092315,             0.23458,            0.043024,            0.009901,            0.009901,            0.009901
                  12,            0.089406,             0.15339,            0.042413,             0.35004,            0.099951,             0.11079,            0.052018,            0.091093,             0.23505,            0.042187,           0.0098911,           0.0098911,           0.0098911
