               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11479,             0.14126,            0.090728,           0.0074789,            0.011156,           0.0047203,            0.001217,                 nan,                 nan,             0.28809,            0.070162,           0.0033153,           0.0033153
                   1,             0.10696,             0.15096,            0.083156,          0.00012832,           0.0008061,          6.5508e-05,          1.7037e-05,             0.12236,             0.81138,             0.10665,            0.040118,           0.0066048,           0.0066048
                   2,            0.097568,              0.1421,             0.05107,            0.063717,           0.0042542,          0.00058359,           0.0001747,             0.10458,             0.31374,             0.06021,             0.01003,           0.0098502,           0.0098502
                   3,               0.091,             0.14139,            0.039292,            0.012948,            0.037522,            0.011415,           0.0034023,            0.094651,             0.25255,            0.043239,            0.009802,            0.009802,            0.009802
                   4,            0.086021,             0.13295,            0.033795,             0.17687,             0.11504,            0.056065,            0.021983,            0.089236,             0.21153,            0.030944,            0.009802,            0.009802,            0.009802
                   5,            0.082459,             0.13498,            0.030245,             0.48806,             0.11613,             0.12188,            0.051098,            0.080402,             0.20915,            0.027228,            0.009736,            0.009736,            0.009736
                   6,            0.079299,             0.13758,            0.027373,             0.51568,             0.12732,             0.12283,            0.058208,            0.079065,             0.21035,            0.026561,             0.00967,             0.00967,             0.00967
                   7,            0.076413,             0.13151,            0.025127,             0.54333,             0.13568,             0.14145,            0.060906,            0.076732,             0.20503,            0.024878,            0.009604,            0.009604,            0.009604
                   8,             0.07432,             0.13382,            0.023716,             0.52602,             0.17542,             0.16451,            0.081034,            0.074104,             0.20158,            0.021751,            0.009538,            0.009538,            0.009538
                   9,            0.072638,             0.12609,            0.022638,             0.50036,             0.17374,             0.17972,            0.086668,            0.072307,             0.20199,            0.022036,            0.009472,            0.009472,            0.009472
                  10,            0.070874,             0.12712,            0.021414,             0.42471,             0.18802,             0.18172,            0.085098,            0.071798,             0.20025,            0.021013,            0.009406,            0.009406,            0.009406
