               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  12,            0.061927,             0.17004,            0.029404,             0.58704,             0.21753,             0.23955,             0.13677,            0.063311,             0.28224,            0.030827,           0.0098911,           0.0098911,           0.0098911
                  13,            0.061805,             0.16904,            0.029184,             0.59382,             0.19846,             0.23352,             0.13211,            0.063118,             0.27983,            0.030519,           0.0098812,           0.0098812,           0.0098812
                  14,            0.061545,             0.16833,            0.029197,             0.59834,             0.23281,             0.25007,             0.13796,            0.065541,             0.29038,            0.031356,           0.0098713,           0.0098713,           0.0098713
                  15,            0.061129,             0.16803,            0.028528,              0.6308,              0.2313,             0.26077,             0.14881,            0.062542,             0.28268,            0.030028,           0.0098614,           0.0098614,           0.0098614
                  16,            0.060832,             0.16256,            0.028387,             0.58006,             0.23575,             0.25829,             0.14553,            0.062291,             0.27909,            0.029646,           0.0098515,           0.0098515,           0.0098515
                  17,            0.060323,             0.16796,            0.028093,              0.6261,             0.22118,             0.25397,             0.14593,            0.063177,             0.28133,            0.029724,           0.0098416,           0.0098416,           0.0098416
                  18,            0.060094,             0.16636,            0.027974,             0.62571,             0.25194,             0.27715,             0.15339,            0.062473,             0.28189,            0.029477,           0.0098317,           0.0098317,           0.0098317
                  19,            0.060341,             0.16492,             0.02759,             0.63285,              0.2469,             0.26889,             0.15268,            0.062415,             0.28296,            0.029591,           0.0098218,           0.0098218,           0.0098218
                  20,            0.059805,             0.16745,            0.027406,             0.64431,             0.25026,             0.27609,             0.16023,            0.062035,             0.27979,            0.028971,           0.0098119,           0.0098119,           0.0098119
                  21,            0.059641,             0.16621,            0.027151,              0.6303,             0.24595,             0.27649,             0.15894,            0.061537,             0.27953,            0.028886,            0.009802,            0.009802,            0.009802
                  22,             0.05936,             0.16844,            0.027084,             0.65209,             0.27555,             0.29701,             0.16944,             0.06191,             0.28478,               0.029,           0.0097921,           0.0097921,           0.0097921
                  23,            0.059101,             0.16201,            0.026808,             0.67619,             0.25536,             0.28684,             0.16568,            0.061715,             0.28342,            0.028935,           0.0097822,           0.0097822,           0.0097822
                  24,            0.059323,             0.16493,            0.026939,             0.64396,             0.24317,             0.27719,             0.15852,            0.061301,              0.2798,            0.028693,           0.0097723,           0.0097723,           0.0097723
                  25,             0.05867,             0.16115,            0.026665,             0.65373,             0.26801,             0.29902,             0.17192,            0.060908,             0.28034,             0.02864,           0.0097624,           0.0097624,           0.0097624
                  26,            0.058697,             0.16515,             0.02636,             0.67424,             0.26437,             0.29588,             0.16945,            0.061038,             0.27987,            0.028579,           0.0097525,           0.0097525,           0.0097525
                  27,             0.05852,             0.16455,            0.026188,             0.66585,             0.27966,             0.30838,             0.17775,            0.060971,               0.281,            0.028521,           0.0097426,           0.0097426,           0.0097426
                  28,            0.058242,             0.15901,            0.025881,             0.66672,             0.27039,             0.30536,              0.1702,            0.061382,             0.28307,             0.02853,           0.0097327,           0.0097327,           0.0097327
                  29,            0.057973,             0.16181,             0.02573,             0.63184,             0.29305,             0.31176,             0.17802,            0.061099,             0.28104,            0.028291,           0.0097228,           0.0097228,           0.0097228
                  30,            0.057792,             0.16509,            0.025709,             0.67557,             0.30142,             0.32771,             0.19058,            0.060828,             0.28137,            0.028156,           0.0097129,           0.0097129,           0.0097129
                  31,            0.057827,             0.16368,            0.025655,             0.58962,             0.28633,             0.31368,             0.18077,            0.060899,             0.28205,            0.028246,            0.009703,            0.009703,            0.009703
                  32,            0.057621,             0.16234,            0.025372,             0.64192,             0.27253,             0.30487,             0.17723,            0.060923,             0.28056,            0.028247,           0.0096931,           0.0096931,           0.0096931
                  33,            0.057487,               0.159,            0.025267,             0.63942,             0.30988,             0.33574,             0.19342,             0.06086,             0.28276,            0.028281,           0.0096832,           0.0096832,           0.0096832
                  34,            0.057301,             0.15965,            0.025325,             0.64192,             0.30077,             0.32756,              0.1914,            0.060446,             0.28034,            0.028024,           0.0096733,           0.0096733,           0.0096733
                  35,            0.057279,              0.1619,            0.025174,             0.67798,             0.29949,             0.32764,             0.18853,            0.060549,             0.28105,            0.028047,           0.0096634,           0.0096634,           0.0096634
                  36,            0.057234,             0.16267,            0.025151,             0.66493,             0.32071,             0.34564,             0.20652,            0.060034,             0.28129,            0.027894,           0.0096535,           0.0096535,           0.0096535
                  37,            0.057086,             0.16124,            0.024953,             0.67707,             0.28504,             0.32594,             0.18425,            0.060471,             0.28176,            0.027843,           0.0096436,           0.0096436,           0.0096436
                  38,             0.05668,             0.15745,            0.024756,             0.63586,             0.30848,             0.33502,             0.19323,            0.060122,             0.28054,            0.027836,           0.0096337,           0.0096337,           0.0096337
                  39,            0.056477,               0.162,            0.024671,             0.66457,             0.33123,             0.36198,             0.21033,            0.060091,             0.27997,             0.02773,           0.0096238,           0.0096238,           0.0096238
                  40,             0.05618,             0.16124,            0.024498,             0.65631,              0.3316,             0.34921,             0.19982,            0.060455,             0.28322,            0.027814,           0.0096139,           0.0096139,           0.0096139
                  41,            0.056456,             0.15823,            0.024427,              0.6134,             0.31322,             0.34505,             0.20039,            0.060236,             0.28113,            0.027918,            0.009604,            0.009604,            0.009604
                  42,            0.055794,             0.15618,            0.024334,             0.68778,             0.32492,             0.35833,             0.20752,             0.05998,             0.28195,            0.027778,           0.0095941,           0.0095941,           0.0095941
                  43,            0.056323,             0.15513,            0.024226,             0.60134,             0.33175,             0.35198,             0.19897,            0.060787,             0.28289,            0.027915,           0.0095842,           0.0095842,           0.0095842
                  44,            0.055912,             0.15878,            0.024017,             0.66057,             0.32089,             0.34666,             0.20229,            0.060532,             0.28424,            0.027997,           0.0095743,           0.0095743,           0.0095743
                  45,            0.056011,             0.15545,            0.024064,             0.70112,             0.32051,             0.35172,             0.19966,            0.060184,              0.2835,            0.027941,           0.0095644,           0.0095644,           0.0095644
                  46,             0.05556,             0.15215,            0.023897,             0.69195,              0.3284,             0.36145,             0.21279,            0.060019,             0.28374,            0.027856,           0.0095545,           0.0095545,           0.0095545
                  47,            0.055826,              0.1595,            0.024036,             0.62419,             0.32677,             0.35648,             0.20984,            0.059992,             0.28436,            0.027775,           0.0095446,           0.0095446,           0.0095446
                  48,            0.055198,              0.1499,            0.023574,             0.67227,             0.31931,             0.34536,             0.19877,            0.059725,             0.28158,            0.027407,           0.0095347,           0.0095347,           0.0095347
                  49,             0.05504,             0.15037,             0.02346,             0.67792,             0.32087,             0.35491,             0.20892,            0.060004,             0.28267,             0.02777,           0.0095248,           0.0095248,           0.0095248
                  50,            0.055096,             0.15711,            0.023573,             0.65495,             0.34492,               0.368,             0.21434,            0.059916,             0.28245,            0.027599,           0.0095149,           0.0095149,           0.0095149
                  51,            0.055276,             0.15808,            0.023284,             0.61329,             0.34005,             0.36599,             0.21285,            0.059999,             0.28502,            0.027705,            0.009505,            0.009505,            0.009505
                  52,            0.054977,              0.1473,            0.023238,             0.68027,             0.33323,             0.36151,             0.20906,            0.060305,             0.28711,             0.02781,           0.0094951,           0.0094951,           0.0094951
                  53,             0.05477,             0.15326,             0.02318,             0.64397,             0.34106,             0.37194,             0.21531,            0.059603,             0.28382,            0.027349,           0.0094852,           0.0094852,           0.0094852
                  54,            0.054699,             0.14865,            0.023116,             0.65432,             0.33124,             0.36586,             0.21142,            0.060185,             0.28619,            0.027938,           0.0094753,           0.0094753,           0.0094753
                  55,            0.054979,             0.15526,            0.023256,             0.65015,             0.33385,             0.36468,             0.21481,            0.059681,             0.28463,            0.027606,           0.0094654,           0.0094654,           0.0094654
                  56,            0.054387,              0.1494,            0.022895,             0.68964,             0.34129,              0.3715,             0.21192,            0.059791,             0.28535,            0.027632,           0.0094555,           0.0094555,           0.0094555
                  57,            0.054416,             0.15186,            0.022806,             0.66389,             0.33892,             0.38375,             0.22482,            0.059665,               0.285,            0.027476,           0.0094456,           0.0094456,           0.0094456
                  58,            0.054208,             0.15363,            0.022718,             0.59404,             0.34281,             0.37525,             0.21392,            0.059637,             0.28561,            0.027623,           0.0094357,           0.0094357,           0.0094357
