               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11536,             0.11945,            0.047691,              0.2601,            0.026314,            0.025244,            0.011836,             0.10245,              0.2065,             0.03897,            0.070566,           0.0032704,           0.0032704
                   1,             0.10013,             0.12587,            0.036346,             0.60098,            0.054605,            0.061763,            0.031264,            0.095757,             0.16177,            0.032711,            0.040561,           0.0065988,           0.0065988
                   2,             0.09682,             0.12797,            0.032507,             0.67478,            0.071876,            0.087025,            0.046066,            0.092844,             0.16039,            0.029662,            0.010551,           0.0099222,           0.0099222
                   3,            0.092882,             0.13036,            0.029886,             0.74634,            0.088395,             0.10613,            0.056925,            0.087672,             0.16532,            0.027498,           0.0099775,           0.0099775,           0.0099775
                   4,            0.090756,             0.12853,            0.028305,             0.77098,             0.13405,             0.15108,            0.082797,            0.086313,             0.16673,            0.026146,           0.0099775,           0.0099775,           0.0099775
                   5,            0.089181,             0.12749,            0.027247,              0.7463,             0.13438,             0.15527,             0.08064,            0.085439,             0.16569,            0.025259,             0.00997,             0.00997,             0.00997
                   6,            0.088642,                0.13,            0.026815,             0.75159,             0.15519,             0.17525,            0.097195,            0.084848,             0.16642,            0.024574,           0.0099625,           0.0099625,           0.0099625
                   7,            0.087861,             0.12695,            0.026287,             0.73071,             0.16281,             0.18328,             0.10087,            0.084347,             0.16422,            0.024054,            0.009955,            0.009955,            0.009955
                   8,            0.087312,              0.1303,            0.025897,             0.70314,             0.16789,             0.18502,             0.10289,            0.083867,             0.16551,            0.023854,           0.0099475,           0.0099475,           0.0099475
                   9,             0.08743,              0.1273,            0.025709,             0.75068,             0.17902,             0.20388,             0.11081,            0.084169,             0.16649,            0.023508,             0.00994,             0.00994,             0.00994
                  10,            0.086972,              0.1293,            0.025423,              0.7357,             0.18422,             0.21353,               0.121,            0.083291,             0.16473,            0.023157,           0.0099325,           0.0099325,           0.0099325
                  11,             0.08658,             0.12788,            0.025182,             0.76417,             0.20062,             0.23026,             0.12692,            0.083033,             0.16502,            0.023021,            0.009925,            0.009925,            0.009925
                  12,            0.086387,             0.12798,            0.025061,             0.69897,              0.1823,             0.21206,             0.11835,            0.083313,              0.1661,            0.022972,           0.0099175,           0.0099175,           0.0099175
                  13,             0.08589,             0.12701,            0.024697,             0.69027,             0.20441,             0.23182,              0.1301,             0.08282,             0.16455,            0.022687,             0.00991,             0.00991,             0.00991
                  14,            0.085726,             0.12852,            0.024539,             0.69574,               0.218,             0.25136,             0.14169,            0.082558,              0.1658,            0.022518,           0.0099025,           0.0099025,           0.0099025
                  15,            0.085653,              0.1251,            0.024423,             0.65774,             0.22061,             0.23844,             0.13587,            0.082451,             0.16598,            0.022525,            0.009895,            0.009895,            0.009895
                  16,            0.085357,             0.12753,             0.02428,             0.66738,             0.22381,             0.24359,             0.13872,             0.08228,             0.16528,            0.022195,           0.0098875,           0.0098875,           0.0098875
                  17,            0.085104,             0.12811,            0.024118,             0.66001,             0.23631,             0.25875,             0.14852,            0.082257,              0.1663,            0.022115,             0.00988,             0.00988,             0.00988
                  18,             0.08474,             0.12606,            0.023962,             0.66812,             0.23417,             0.25827,             0.14568,            0.082318,             0.16632,            0.022105,           0.0098725,           0.0098725,           0.0098725
                  19,            0.084769,             0.12747,            0.023831,             0.68018,             0.23561,             0.26133,             0.14319,            0.082379,             0.16543,            0.022055,            0.009865,            0.009865,            0.009865
                  20,            0.084749,             0.12652,            0.023781,             0.62994,             0.25734,             0.26853,             0.15183,            0.081831,             0.16614,            0.021841,           0.0098575,           0.0098575,           0.0098575
                  21,            0.084375,              0.1263,            0.023752,             0.60818,             0.25401,             0.26983,             0.15186,            0.082119,               0.166,            0.021822,             0.00985,             0.00985,             0.00985
                  22,            0.084244,             0.12473,            0.023596,             0.61716,             0.25655,             0.27435,             0.15355,            0.081771,             0.16613,            0.021718,           0.0098425,           0.0098425,           0.0098425
                  23,            0.084446,             0.12621,            0.023559,             0.61101,              0.2522,             0.26926,              0.1509,            0.082138,             0.16684,            0.021939,            0.009835,            0.009835,            0.009835
                  24,            0.084014,             0.12653,            0.023392,             0.58623,             0.25372,             0.26343,             0.14849,              0.0826,             0.16611,            0.021813,           0.0098275,           0.0098275,           0.0098275
                  25,            0.084212,             0.12549,            0.023348,             0.62062,              0.2675,             0.27391,             0.15453,            0.081723,             0.16482,            0.021594,             0.00982,             0.00982,             0.00982
                  26,            0.083831,             0.12621,            0.023283,             0.60336,             0.27057,             0.27672,             0.15729,            0.081641,              0.1672,            0.021449,           0.0098125,           0.0098125,           0.0098125
                  27,            0.083627,             0.12544,            0.023098,             0.57256,             0.26868,             0.27597,             0.15087,            0.081997,             0.16622,            0.021544,            0.009805,            0.009805,            0.009805
                  28,            0.083983,             0.12636,            0.023207,             0.60132,             0.27639,             0.27793,             0.15369,            0.081846,             0.16614,            0.021332,           0.0097975,           0.0097975,           0.0097975
                  29,            0.083926,             0.12772,            0.023103,             0.62275,             0.27042,             0.27901,             0.15589,            0.081787,             0.16662,            0.021387,             0.00979,             0.00979,             0.00979
                  30,            0.083362,              0.1252,            0.022967,             0.60935,             0.27685,             0.27855,             0.15514,            0.081513,             0.16649,            0.021332,           0.0097825,           0.0097825,           0.0097825
