               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11283,             0.12132,            0.046669,             0.61697,            0.035783,            0.034348,            0.014086,             0.10125,             0.16093,            0.036741,            0.070366,           0.0032927,           0.0032927
                   1,            0.097142,              0.1268,            0.034151,             0.71661,            0.072011,            0.086861,            0.044493,            0.095217,             0.15912,            0.030731,            0.040362,            0.006622,            0.006622
                   2,             0.09563,              0.1277,             0.03123,             0.72947,            0.079313,            0.084749,            0.037593,            0.094016,             0.16231,            0.028679,            0.010354,           0.0099474,           0.0099474
                   3,            0.093004,             0.13002,            0.029437,             0.75572,            0.090181,             0.11089,            0.056523,            0.087283,              0.1682,            0.026855,            0.009982,            0.009982,            0.009982
                   4,             0.09045,             0.12806,            0.027983,             0.75496,              0.1182,             0.13278,            0.061297,            0.087894,              0.1671,            0.025714,            0.009982,            0.009982,            0.009982
                   5,            0.088479,             0.12615,            0.026867,             0.78015,             0.13492,             0.15906,            0.082376,            0.084912,             0.16371,            0.024723,            0.009976,            0.009976,            0.009976
                   6,            0.087826,             0.12974,            0.026366,             0.68502,             0.17042,             0.18975,            0.095263,              0.0844,             0.16459,             0.02417,             0.00997,             0.00997,             0.00997
                   7,            0.086781,             0.12642,            0.025779,              0.6878,             0.17295,             0.19253,             0.10247,              0.0838,               0.163,            0.023736,            0.009964,            0.009964,            0.009964
                   8,             0.08658,             0.12977,             0.02545,             0.67917,             0.19798,             0.21882,              0.1181,            0.084243,             0.16422,            0.023503,            0.009958,            0.009958,            0.009958
                   9,            0.086374,             0.12565,            0.025257,             0.63814,             0.20064,             0.21599,             0.11958,            0.083128,             0.16281,            0.023048,            0.009952,            0.009952,            0.009952
                  10,              0.0858,             0.12869,            0.024882,             0.67373,             0.21275,             0.24353,             0.13322,            0.082569,             0.16349,            0.022773,            0.009946,            0.009946,            0.009946
                  11,            0.085115,             0.12698,            0.024573,             0.63988,             0.19645,             0.21959,             0.12266,             0.08223,             0.16343,            0.022623,             0.00994,             0.00994,             0.00994
                  12,            0.085031,             0.12742,            0.024496,              0.6404,             0.22056,             0.24565,              0.1343,            0.081723,             0.16246,            0.022441,            0.009934,            0.009934,            0.009934
                  13,            0.084449,             0.12635,            0.024143,             0.62893,             0.23412,             0.24686,             0.13879,             0.08136,             0.16347,            0.022218,            0.009928,            0.009928,            0.009928
