               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11585,              0.1985,            0.093308,           0.0014758,           0.0033386,          0.00080535,          0.00021338,                 nan,                 nan,             0.35962,            0.070162,           0.0033153,           0.0033153
                   1,             0.11284,             0.21108,            0.090821,            0.004056,             0.01049,           0.0024217,          0.00062321,                 nan,                 nan,             0.62281,            0.040156,           0.0066421,           0.0066421
                   2,             0.10402,             0.21346,            0.073102,            0.010493,           0.0088204,           0.0054292,          0.00064165,             0.11529,             0.41034,             0.12269,            0.010142,           0.0099622,           0.0099622
                   3,            0.097198,             0.20527,            0.057823,             0.20082,            0.028677,            0.019895,           0.0086461,            0.098159,             0.33924,            0.056988,           0.0099703,           0.0099703,           0.0099703
                   4,            0.092718,             0.19625,            0.052942,             0.19252,            0.035488,            0.030627,            0.014574,            0.094635,              0.3169,            0.052954,           0.0099703,           0.0099703,           0.0099703
                   5,            0.089798,             0.19385,            0.049578,             0.33068,            0.051074,             0.04803,            0.021373,            0.089139,             0.31473,            0.047946,           0.0099604,           0.0099604,           0.0099604
                   6,            0.087214,              0.2032,            0.047457,             0.28334,            0.052204,            0.065014,            0.030622,            0.088286,             0.31376,            0.047772,           0.0099505,           0.0099505,           0.0099505
                   7,            0.085105,             0.19515,            0.045996,             0.31934,            0.067115,            0.074809,            0.035181,            0.086419,             0.31239,             0.04544,           0.0099406,           0.0099406,           0.0099406
                   8,            0.083476,             0.18806,            0.044285,             0.31333,            0.077454,             0.08854,            0.042673,            0.083636,             0.30685,            0.043602,           0.0099307,           0.0099307,           0.0099307
                   9,            0.081686,             0.19425,            0.043402,             0.28232,            0.080949,            0.088175,            0.040197,            0.081947,             0.30753,            0.042317,           0.0099208,           0.0099208,           0.0099208
                  10,            0.080687,             0.19402,            0.042077,             0.39921,            0.092414,             0.10557,            0.052035,            0.081681,             0.30778,            0.041449,           0.0099109,           0.0099109,           0.0099109
                  11,            0.079473,             0.19091,            0.041349,             0.37351,            0.093828,              0.1083,            0.054639,            0.079846,             0.30321,            0.041057,            0.009901,            0.009901,            0.009901
                  12,            0.078233,             0.19013,            0.040196,              0.4525,            0.099542,             0.11477,            0.057991,            0.078535,              0.3032,            0.039784,           0.0098911,           0.0098911,           0.0098911
                  13,            0.077575,             0.18823,             0.03949,             0.55313,             0.12173,               0.134,            0.066495,            0.078433,             0.30421,            0.039413,           0.0098812,           0.0098812,           0.0098812
                  14,            0.076596,             0.18778,            0.039152,             0.47397,             0.11922,             0.13115,            0.064997,            0.077592,              0.3009,            0.038598,           0.0098713,           0.0098713,           0.0098713
                  15,            0.075768,              0.1873,             0.03809,             0.53543,             0.11704,             0.13629,            0.071907,            0.076355,             0.30009,            0.037811,           0.0098614,           0.0098614,           0.0098614
                  16,            0.075243,             0.18043,            0.037656,             0.47115,             0.12118,             0.14346,            0.074459,            0.075983,             0.29774,            0.037531,           0.0098515,           0.0098515,           0.0098515
                  17,            0.074526,             0.18655,            0.037093,             0.40617,             0.12992,             0.14543,            0.074421,            0.075044,             0.29701,            0.036762,           0.0098416,           0.0098416,           0.0098416
                  18,             0.07401,             0.18471,            0.036796,              0.4524,             0.13255,              0.1487,            0.074854,             0.07549,             0.29931,            0.036948,           0.0098317,           0.0098317,           0.0098317
                  19,            0.073702,             0.18234,            0.036301,              0.5343,             0.14603,             0.16105,            0.082396,             0.07509,             0.30042,            0.036462,           0.0098218,           0.0098218,           0.0098218
                  20,            0.073106,             0.18516,            0.036082,             0.48687,             0.14903,             0.16328,            0.084005,            0.073901,             0.29717,            0.035933,           0.0098119,           0.0098119,           0.0098119
                  21,             0.07243,             0.18386,            0.035423,             0.44339,              0.1476,              0.1631,            0.085317,            0.073402,             0.29514,            0.035582,            0.009802,            0.009802,            0.009802
                  22,            0.072309,              0.1861,            0.035115,             0.55562,             0.16117,             0.17981,            0.093305,            0.073483,             0.29781,            0.035518,           0.0097921,           0.0097921,           0.0097921
                  23,            0.071491,             0.17937,            0.034713,             0.56138,             0.17595,             0.19131,             0.10091,            0.073047,             0.29955,            0.035005,           0.0097822,           0.0097822,           0.0097822
                  24,            0.071588,             0.18215,            0.034718,             0.44848,             0.14311,             0.16776,            0.089612,            0.072208,             0.29244,            0.034839,           0.0097723,           0.0097723,           0.0097723
                  25,            0.070913,               0.178,            0.034472,             0.58472,             0.15579,             0.17927,            0.093855,            0.072275,              0.2942,            0.034686,           0.0097624,           0.0097624,           0.0097624
                  26,            0.070631,             0.18228,             0.03401,               0.589,              0.1701,             0.19468,              0.1022,            0.071683,             0.29342,            0.034146,           0.0097525,           0.0097525,           0.0097525
                  27,            0.070547,             0.18135,              0.0336,             0.53703,             0.17892,             0.20215,             0.10513,            0.071692,             0.29531,            0.034246,           0.0097426,           0.0097426,           0.0097426
                  28,            0.069941,             0.17576,            0.033297,             0.46101,             0.15752,             0.18289,             0.09748,            0.071283,             0.29173,            0.033982,           0.0097327,           0.0097327,           0.0097327
                  29,            0.069891,             0.17895,            0.033159,             0.51287,             0.16367,             0.19077,             0.10144,            0.071046,               0.291,            0.033651,           0.0097228,           0.0097228,           0.0097228
                  30,            0.069614,             0.18196,            0.032915,               0.562,             0.18636,             0.21653,             0.11428,            0.070533,             0.29202,            0.033333,           0.0097129,           0.0097129,           0.0097129
                  31,            0.069335,             0.18046,            0.032825,             0.49251,              0.1741,             0.20057,             0.10674,            0.070497,             0.28998,            0.033167,            0.009703,            0.009703,            0.009703
                  32,            0.068911,             0.17962,            0.032392,             0.45309,             0.16259,             0.18994,             0.10193,            0.070581,              0.2909,            0.033599,           0.0096931,           0.0096931,           0.0096931
                  33,            0.068608,             0.17577,            0.032199,             0.56575,             0.20728,             0.23184,              0.1242,            0.070205,             0.29194,             0.03297,           0.0096832,           0.0096832,           0.0096832
                  34,            0.068408,             0.17675,            0.032253,             0.48978,             0.18815,             0.20699,             0.11218,            0.069712,             0.28909,            0.032822,           0.0096733,           0.0096733,           0.0096733
                  35,            0.068137,              0.1785,            0.031944,             0.47475,             0.19671,             0.21925,             0.11817,            0.069561,             0.28971,            0.032809,           0.0096634,           0.0096634,           0.0096634
                  36,            0.068431,             0.17925,            0.031804,             0.51304,             0.20088,             0.21517,             0.11502,            0.069582,             0.28946,            0.032772,           0.0096535,           0.0096535,           0.0096535
                  37,            0.067803,             0.17806,            0.031589,               0.477,             0.20919,             0.23452,             0.12549,            0.069336,             0.28918,              0.0323,           0.0096436,           0.0096436,           0.0096436
                  38,            0.067577,             0.17459,            0.031364,             0.41929,             0.19781,             0.22318,             0.12061,            0.069055,             0.28963,             0.03231,           0.0096337,           0.0096337,           0.0096337
                  39,            0.067504,             0.17938,            0.031361,             0.45837,             0.20226,             0.22564,             0.12283,            0.068801,             0.28848,            0.032248,           0.0096238,           0.0096238,           0.0096238
                  40,            0.067164,             0.17831,            0.031079,             0.54677,             0.22115,             0.24141,             0.13013,             0.06874,             0.28928,            0.032031,           0.0096139,           0.0096139,           0.0096139
                  41,            0.066983,             0.17513,            0.030906,             0.52354,             0.22436,             0.24488,             0.13096,             0.06847,             0.28934,            0.031958,            0.009604,            0.009604,            0.009604
                  42,             0.06686,             0.17326,            0.030853,             0.49695,             0.22961,             0.24705,             0.13532,            0.068359,             0.28771,            0.031699,           0.0095941,           0.0095941,           0.0095941
                  43,            0.066634,             0.17163,            0.030758,             0.46816,               0.226,             0.24486,             0.13005,            0.068765,             0.28887,              0.0317,           0.0095842,           0.0095842,           0.0095842
                  44,            0.066566,             0.17573,            0.030464,             0.47646,             0.24519,             0.25523,             0.13629,            0.068353,             0.29007,             0.03193,           0.0095743,           0.0095743,           0.0095743
                  45,            0.066359,             0.17232,            0.030506,             0.46514,             0.24114,             0.25723,             0.13972,            0.067837,             0.28811,            0.031381,           0.0095644,           0.0095644,           0.0095644
                  46,            0.066071,              0.1691,            0.030236,             0.57619,             0.23669,             0.25257,             0.13674,            0.068051,             0.28846,            0.031502,           0.0095545,           0.0095545,           0.0095545
                  47,            0.065963,             0.17664,            0.030166,             0.45882,             0.24977,             0.26505,              0.1457,            0.067427,             0.28813,            0.031113,           0.0095446,           0.0095446,           0.0095446
                  48,            0.065756,             0.16678,            0.029862,             0.51247,             0.23046,             0.24894,             0.13418,            0.067709,             0.28701,            0.031171,           0.0095347,           0.0095347,           0.0095347
                  49,            0.065208,             0.16719,            0.029711,             0.57981,             0.22802,             0.24779,             0.13641,            0.067771,             0.28651,            0.031346,           0.0095248,           0.0095248,           0.0095248
                  50,            0.065289,              0.1751,            0.029707,             0.53787,              0.2531,             0.26983,             0.14603,            0.067465,             0.28667,             0.03106,           0.0095149,           0.0095149,           0.0095149
                  51,            0.065194,             0.17593,            0.029486,              0.5674,             0.24426,             0.26663,             0.14272,            0.067049,             0.28754,             0.03104,            0.009505,            0.009505,            0.009505
                  52,             0.06515,             0.16453,            0.029602,             0.57446,             0.25487,             0.26687,             0.14389,            0.067486,             0.28703,             0.03095,           0.0094951,           0.0094951,           0.0094951
                  53,            0.064861,             0.17091,            0.029346,             0.42752,             0.24507,             0.26803,             0.14746,            0.066989,             0.28607,            0.030826,           0.0094852,           0.0094852,           0.0094852
                  54,            0.064709,             0.16564,            0.029166,             0.47243,             0.26421,             0.28089,             0.15019,            0.066864,             0.28593,            0.030759,           0.0094753,           0.0094753,           0.0094753
                  55,            0.064882,             0.17262,            0.029346,             0.45846,             0.26396,             0.27656,             0.15036,            0.066813,             0.28766,            0.030763,           0.0094654,           0.0094654,           0.0094654
                  56,            0.064377,             0.16696,            0.029118,             0.60724,             0.25088,             0.26745,             0.14837,            0.066467,             0.28525,            0.030418,           0.0094555,           0.0094555,           0.0094555
                  57,            0.064515,             0.17006,            0.028914,             0.48418,             0.25181,               0.269,             0.14637,            0.066541,             0.28528,            0.030687,           0.0094456,           0.0094456,           0.0094456
                  58,            0.064246,              0.1719,            0.028767,             0.59116,             0.26726,             0.28395,             0.15693,             0.06645,             0.28725,            0.030514,           0.0094357,           0.0094357,           0.0094357
                  59,            0.064467,             0.17458,            0.028913,             0.53848,              0.2688,             0.27939,             0.15284,            0.066481,             0.28594,            0.030405,           0.0094258,           0.0094258,           0.0094258
                  60,            0.064199,             0.16881,            0.028975,             0.62044,             0.26727,             0.28816,             0.15773,            0.066169,             0.28571,            0.030253,           0.0094159,           0.0094159,           0.0094159
                  61,            0.063946,             0.16958,            0.028516,             0.53712,             0.26944,             0.28854,             0.15971,            0.066144,             0.28562,            0.030257,            0.009406,            0.009406,            0.009406
                  62,            0.063731,             0.16821,            0.028412,             0.53388,             0.26762,              0.2866,             0.15726,            0.066005,             0.28386,            0.030184,           0.0093961,           0.0093961,           0.0093961
                  63,             0.06381,              0.1648,            0.028503,             0.58063,             0.27638,              0.2896,             0.15823,             0.06601,             0.28548,            0.030141,           0.0093862,           0.0093862,           0.0093862
                  64,            0.063741,             0.16442,            0.028574,             0.52842,             0.27961,             0.29098,             0.16146,            0.065903,             0.28613,                0.03,           0.0093763,           0.0093763,           0.0093763
