               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11727,            0.090006,            0.055603,           0.0018068,           0.0025569,           0.0010945,          0.00029486,                 nan,                 nan,             0.11782,            0.070162,           0.0033153,           0.0033153
                   1,             0.10854,            0.095875,            0.051635,           9.549e-05,          0.00054107,          4.7928e-05,          8.2835e-06,                 nan,                 nan,            0.083664,            0.040122,           0.0066088,           0.0066088
                   2,            0.099023,            0.089219,            0.033743,            0.023813,            0.015829,            0.016226,           0.0058838,             0.10306,              0.1864,            0.031095,            0.010042,           0.0098622,           0.0098622
                   3,            0.093272,            0.088262,            0.026616,              0.2823,             0.06109,            0.033309,            0.014587,            0.089798,              0.1586,             0.02363,             0.00982,             0.00982,             0.00982
                   4,            0.087853,            0.082968,            0.022991,            0.026336,            0.051058,            0.023499,           0.0062924,             0.09142,             0.17762,            0.022698,             0.00982,             0.00982,             0.00982
                   5,            0.083897,            0.084486,            0.020756,            0.041407,             0.14331,            0.066249,            0.032765,            0.082725,             0.15089,            0.019136,             0.00976,             0.00976,             0.00976
                   6,            0.080645,            0.086797,             0.01908,             0.50642,            0.096176,            0.092491,            0.046242,            0.082604,             0.14862,            0.019863,              0.0097,              0.0097,              0.0097
                   7,            0.077877,            0.083262,            0.017689,             0.42973,             0.10689,            0.096429,            0.043031,            0.079298,             0.15331,              0.0184,             0.00964,             0.00964,             0.00964
                   8,            0.075981,            0.084697,            0.016989,             0.53316,             0.14038,             0.13634,            0.064302,             0.07436,             0.14575,            0.015627,             0.00958,             0.00958,             0.00958
                   9,            0.074284,            0.079955,            0.016261,             0.56755,              0.1415,             0.13855,             0.06223,             0.07579,             0.14601,            0.015474,             0.00952,             0.00952,             0.00952
                  10,            0.072794,            0.080724,             0.01542,             0.57685,             0.15593,             0.16853,            0.085428,            0.071823,             0.14457,            0.014685,             0.00946,             0.00946,             0.00946
                  11,             0.07065,            0.080823,            0.014664,             0.50488,              0.1548,             0.17699,            0.085051,            0.071717,             0.14615,            0.013606,              0.0094,              0.0094,              0.0094
                  12,             0.06967,            0.081129,            0.014059,             0.79759,             0.16991,             0.18585,            0.099377,            0.069545,             0.14157,            0.013058,             0.00934,             0.00934,             0.00934
                  13,            0.068424,            0.075853,            0.013529,             0.79745,             0.17938,             0.19654,             0.10789,               0.067,              0.1408,            0.012702,             0.00928,             0.00928,             0.00928
                  14,            0.067751,            0.076458,            0.013319,             0.73552,             0.17943,             0.20286,             0.10957,            0.068038,             0.13987,            0.012594,             0.00922,             0.00922,             0.00922
                  15,            0.066958,            0.079854,            0.013053,             0.51453,             0.20757,             0.21245,             0.11458,             0.06573,             0.13976,            0.012195,             0.00916,             0.00916,             0.00916
                  16,             0.06583,            0.077906,            0.012631,              0.6618,             0.21115,              0.2149,              0.1185,            0.065314,             0.13742,            0.011522,              0.0091,              0.0091,              0.0091
                  17,            0.065134,            0.076237,             0.01248,             0.69145,             0.22411,             0.23084,             0.13273,            0.064396,             0.13508,            0.011482,             0.00904,             0.00904,             0.00904
                  18,            0.064437,            0.076119,            0.012083,             0.66413,             0.21785,             0.21746,             0.11829,            0.064051,              0.1385,            0.011157,             0.00898,             0.00898,             0.00898
                  19,            0.063763,            0.077107,            0.011839,             0.65669,             0.22446,             0.22213,             0.12255,            0.065395,              0.1335,            0.011302,             0.00892,             0.00892,             0.00892
                  20,            0.063787,            0.077025,             0.01183,             0.69274,             0.23664,             0.24548,             0.12875,            0.062514,             0.13581,            0.010751,             0.00886,             0.00886,             0.00886
                  21,            0.062848,            0.075873,            0.011665,             0.68782,             0.23534,             0.24351,             0.13436,            0.061513,             0.13326,            0.010574,              0.0088,              0.0088,              0.0088
                  22,            0.062376,            0.075517,            0.011524,             0.71549,             0.23757,             0.25025,             0.13866,            0.061311,             0.13483,            0.010792,             0.00874,             0.00874,             0.00874
                  23,            0.061783,            0.076033,            0.011272,             0.73097,             0.23839,             0.25597,             0.14409,            0.063074,             0.13322,             0.01071,             0.00868,             0.00868,             0.00868
                  24,            0.061703,            0.074222,            0.011141,              0.6607,             0.24171,             0.25139,             0.14034,            0.061201,             0.13304,            0.010224,             0.00862,             0.00862,             0.00862
                  25,            0.061538,            0.074651,             0.01112,             0.72851,             0.24673,             0.26027,             0.14723,             0.06023,             0.13298,            0.010074,             0.00856,             0.00856,             0.00856
                  26,            0.060609,            0.073793,            0.010807,             0.69875,              0.2339,             0.24765,             0.13706,             0.06164,             0.13283,            0.010517,              0.0085,              0.0085,              0.0085
                  27,            0.060287,            0.075597,            0.010613,             0.74864,             0.24345,             0.26512,             0.15108,            0.059736,             0.13072,           0.0098398,             0.00844,             0.00844,             0.00844
                  28,            0.059777,             0.07299,            0.010583,             0.71598,             0.26564,             0.27711,             0.15161,            0.059082,             0.13041,           0.0097668,             0.00838,             0.00838,             0.00838
                  29,            0.059654,            0.073584,             0.01042,             0.72103,             0.25695,             0.27517,             0.15231,            0.058593,             0.13115,           0.0096208,             0.00832,             0.00832,             0.00832
                  30,            0.059794,            0.071686,            0.010565,             0.73627,             0.27284,              0.2851,             0.15756,             0.05898,             0.12956,           0.0095106,             0.00826,             0.00826,             0.00826
                  31,            0.058987,            0.072995,            0.010248,             0.72728,             0.25599,             0.27832,             0.15369,            0.059106,             0.12886,           0.0095464,              0.0082,              0.0082,              0.0082
