               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11315,              0.1661,            0.074299,             0.66577,             0.06557,             0.06979,            0.038419,             0.10262,             0.23086,            0.057146,            0.070545,           0.0032727,           0.0032727
                   1,            0.097153,             0.17764,            0.051817,             0.70308,             0.11345,             0.13035,            0.062353,            0.093441,             0.23011,            0.046749,            0.040539,           0.0065995,           0.0065995
                   2,            0.092999,             0.18021,            0.045651,             0.78115,             0.17314,             0.18471,             0.09583,            0.090785,             0.21884,              0.0428,            0.010526,           0.0099197,           0.0099197
                   3,            0.090127,             0.18255,            0.042373,             0.73535,             0.19712,             0.21359,             0.11172,            0.087977,             0.22098,            0.040283,           0.0099703,           0.0099703,           0.0099703
                   4,            0.087385,             0.18085,            0.040059,             0.73285,             0.21314,             0.25103,             0.14136,            0.085828,             0.21994,            0.038818,           0.0099703,           0.0099703,           0.0099703
                   5,            0.085649,             0.17978,             0.03858,             0.62451,             0.24452,             0.25679,              0.1422,            0.085807,             0.22126,             0.03786,           0.0099604,           0.0099604,           0.0099604
                   6,            0.084414,             0.17875,            0.037539,             0.62436,             0.25517,             0.26761,              0.1522,            0.085181,             0.22064,            0.037012,           0.0099505,           0.0099505,           0.0099505
                   7,            0.083487,             0.17743,            0.036857,             0.61102,             0.27005,             0.28161,             0.15794,             0.08431,             0.22133,            0.036438,           0.0099406,           0.0099406,           0.0099406
                   8,            0.082772,             0.17809,            0.036181,             0.61724,             0.27343,             0.28717,             0.16147,            0.084302,              0.2218,            0.036169,           0.0099307,           0.0099307,           0.0099307
                   9,            0.082085,             0.17755,            0.035638,             0.63035,             0.27122,              0.2919,             0.16548,            0.084007,             0.22296,            0.035795,           0.0099208,           0.0099208,           0.0099208
                  10,            0.082107,             0.17574,            0.035282,             0.61826,              0.2742,             0.29342,             0.16565,            0.083723,             0.22098,            0.035567,           0.0099109,           0.0099109,           0.0099109
